Id,Title,Category,Address,Industry,Geography,Profession
50489b6ddb46674f9b000001,Equity Markets,Price,Equity Markets,All Sectors,"United Kingdom,Australia,Hong Kong,India,Italy,Japan,France,Germany,Canada,Belgium,Netherlands,New Zealand,Portugal,Taiwan, United States","Asset Management,Debt,Equities,Investment Banking"
50489b6ddb46674f9b000031,US Indices,Price,US Indices,"Consumer Goods & Services,Basic Materials,Oil & Gas,Financials,Health Care,Industrials,Technology,Utilities,Sovereigns & Public Finance,Telecommunications","United States,Canada","Asset Management,Debt,Equities,Investment Banking"
50489b6ddb46674f9b000045,European Indices,Price,European Indices,"Consumer Goods & Services,Basic Materials,Oil & Gas,Financials,Health Care,Industrials,Technology,Utilities,Sovereigns & Public Finance,Telecommunications","United Kingdom,Italy,France,Germany,Belgium,Netherlands,Portugal","Asset Management,Debt,Equities,Investment Banking"
50489b6ddb46674f9b000062,Asian Indices,Price,Asian Indices,"Consumer Goods & Services,Basic Materials,Oil & Gas,Financials,Health Care,Industrials,Technology,Utilities,Sovereigns & Public Finance,Telecommunications","Australia,Hong Kong,India,Japan,New Zealand,Taiwan","Asset Management,Debt,Equities,Investment Banking"
50489b6ddb46674f9b0000a1,Global Top 25 All Sectors,Price,Global Top 25 All Sectors,All Sectors,"United Kingdom,Australia,India,Italy,Japan,France,Germany,Canada,Belgium,Netherlands,New Zealand,Portugal,Taiwan, United States","Asset Management,Debt,Equities,Investment Banking"
50489b6ddb46674f9b0000d6,Global Top 25 Industrials,Price,Global Top 25 Industrials,Industrials,"United Kingdom,Australia,Hong Kong,India,Italy,Japan,France,Germany,Canada,Belgium,Netherlands,New Zealand,Portugal,Taiwan, United States","Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000103,United States Top 25 ,Price,United States Top 25 ,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b00012b,United States Industrials,Price,United States Industrials,Industrials,United States,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b00014f,Canada Top 25 ,Price,Canada Top 25 ,All Sectors,Canada,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000177,Canada Industrials,Price,Canada Industrials,Industrials,Canada,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000192,France Top 25 ,Price,France Top 25 ,All Sectors,France,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b0001bf,France Industrials,Price,France Industrials,Industrials,France,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b0001db,United Kingdom Top 25 ,Price,United Kingdom Top 25 ,All Sectors,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000203,United Kingdom Industrials,Price,United Kingdom Industrials,Industrials,United Kingdom,"Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000229,Global Top 25 Consumer Services,Price,Global Top 25 Consumer Services,Consumer Goods & Services,"United Kingdom,Australia,Hong Kong,India,Italy,Japan,France,Germany,Canada,Belgium,Netherlands,New Zealand,Portugal,Taiwan, United States","Asset Management,Debt,Equities,Investment Banking"
50489b6edb46674f9b000255,Australia Top 25 ,Price,Australia Top 25 ,All Sectors,"Australia,New Zealand","Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b00027e,Australia Consumer Services,Price,Australia Consumer Services,Consumer Goods & Services,Australia,"Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b00029d,United States Consumer Services,Price,United States Consumer Services,Consumer Goods & Services,United States,"Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b0002bd,India Top 25 ,Price,India Top 25 ,All Sectors,India,"Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b0002e2,India Consumer Services,Price,India Consumer Services,Consumer Goods & Services,India,"Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b0002f5,Hong Kong Top 25 ,Price,Hong Kong Top 25 ,All Sectors,Hong Kong,"Asset Management,Debt,Equities,Investment Banking"
50489b6fdb46674f9b00031e,Hong Kong Consumer Services,Price,Hong Kong Consumer Services,Consumer Goods & Services,Hong Kong,"Asset Management,Debt,Equities,Investment Banking"
