Title,Geographic,Industry,Profession,Ticker,Keyword,Competitor Ticker,Competitor Keyword,Broadcast Keyword,Finance Keyword,Bing Keyword,Blog Keyword,Twitter
TRIUMPH GROUP,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:TGI,"NYSE:TGI,""TRIUMPH GROUP""","TSE:CAE,NYSE:HXL,LON:MGGT,EPA:ZC,NASDAQ:BEAV","CAE.TO,$HXL,MGGT.L,ZODC.PA,$BEAV",TRIUMPH GROUP,NYSE:TGI,"NYSE:TGI,TRIUMPH GROUP","NYSE:TGI,TRIUMPH GROUP",$TGI
BE AEROSPACE,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NASDAQ:BEAV,"NASDAQ:BEAV,""BE AEROSPACE""","NYSE:HXL,LON:MGGT,EPA:ZC,NYSE:TDG,NYSE:TXT","$HXL,MGGT.L,ZODC.PA,$TDG,$TXT",BE AEROSPACE,NASDAQ:BEAV,"NASDAQ:BEAV,BE AEROSPACE","NASDAQ:BEAV,BE AEROSPACE",$BEAV
AAR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:AIR,"NYSE:AIR,""AAR""","LON:SNR,LON:COB,TSE:CAE,NYSE:HXL,NASDAQ:BEAV","SNR.L,COB.L,CAE.TO,$HXL,$BEAV",AAR,NYSE:AIR,"NYSE:AIR,AAR","NYSE:AIR,AAR",$AIR
CAE,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking",TSE:CAE,"TSE:CAE,""CAE""","LON:SNR,LON:COB,NYSE:HXL,LON:MGGT,EPA:ZC","SNR.L,COB.L,$HXL,MGGT.L,ZODC.PA",CAE,TSE:CAE,"TSE:CAE,CAE","TSE:CAE,CAE",CAE.TO
SAFRAN,France,Industrials,"Asset Management,Debt,Equities,Investment Banking",EPA:SAF,"EPA:SAF,""SAFRAN""","NYSE:TXT,NYSE:COL,NYSE:GR,EPA:EAD,NYSE:PCP,EPA:ZC","$TXT,$COL,$GR,EAD.PA,$PCP,ZODC.PA",SAFRAN,EPA:SAF,"EPA:SAF,SAFRAN","EPA:SAF,SAFRAN",SAF.PA
SPIRIT AEROSYSTEMS ,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:SPR,"NYSE:SPR,""SPIRIT AEROSYSTEMS ""","TSE:CAE,NYSE:HXL,LON:MGGT,EPA:ZC,NASDAQ:BEAV","CAE.TO,$HXL,MGGT.L,ZODC.PA,$BEAV",SPIRIT AEROSYSTEMS ,NYSE:SPR,"NYSE:SPR,SPIRIT AEROSYSTEMS ","NYSE:SPR,SPIRIT AEROSYSTEMS ",$SPR
ZODIAC AEROSPACE,France,Industrials,"Asset Management,Debt,Equities,Investment Banking",EPA:ZC,"EPA:ZC,""ZODIAC AEROSPACE""","NYSE:HXL,LON:MGGT,NASDAQ:BEAV,NYSE:TDG,NYSE:TXT,EPA:SAF,EPA:EAD","$HXL,MGGT.L,$BEAV,$TDG,$TXT,SAF.PA,EAD.PA",ZODIAC AEROSPACE,EPA:ZC,"EPA:ZC,ZODIAC AEROSPACE","EPA:ZC,ZODIAC AEROSPACE",ZODC.PA
GOODRICH,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:GR,"NYSE:GR,""GOODRICH""","NYSE:TXT,NYSE:COL,EPA:SAF,EPA:EAD,NYSE:PCP","$TXT,$COL,SAF.PA,EAD.PA,$PCP",GOODRICH,NYSE:GR,"NYSE:GR,GOODRICH","NYSE:GR,GOODRICH",$GR
BOEING,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:BA,"NYSE:BA,""BOEING""","EPA:EAD,NYSE:PCP,NYSE:UTX","EAD.PA,$PCP,$UTX",BOEING,NYSE:BA,"NYSE:BA,BOEING","NYSE:BA,BOEING",$BA
HEXCEL,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:HXL,"NYSE:HXL,""HEXCEL""","LON:SNR,LON:COB,TSE:CAE,LON:MGGT,EPA:ZC,NYSE:AIR,NASDAQ:BEAV","SNR.L,COB.L,CAE.TO,MGGT.L,ZODC.PA,$AIR,$BEAV",HEXCEL,NYSE:HXL,"NYSE:HXL,HEXCEL","NYSE:HXL,HEXCEL",$HXL
