TRIUMPH GROUP,TGI.N,NYSE:TGI,LON:SNR NYSE:HXL TSE:CAE LON:COB NASDAQ:BEAV ,SNR.L $HXL CAE.TO COB.L $BEAV 
BE AEROSPACE,$BEAV,NASDAQ:BEAV,TSE:CAE LON:COB LON:MGGT EPA:ZC NYSE:TDG NYSE:AIR ,CAE.TO COB.L MGGT.L ZODC.PA $TDG $AIR 
AAR,$AIR,NYSE:AIR,LON:SNR NYSE:HXL TSE:CAE ,SNR.L $HXL CAE.TO 
CAE,CAE.TO,TSE:CAE,NYSE:AIR LON:SNR NYSE:HXL LON:COB NASDAQ:BEAV ,$AIR SNR.L $HXL COB.L $BEAV 
SAFRAN,SAF.PA,EPA:SAF,NYSE:COL NYSE:TXT NYSE:GR NYSE:PCP EPA:EAD EPA:ZC ,$COL $TXT $GR $PCP EAD.PA ZODC.PA 
SPIRIT AEROSYSTEMS HOLDINGS,SPR.N,NYSE:SPR,LON:SNR NYSE:HXL TSE:CAE LON:COB NASDAQ:BEAV ,SNR.L $HXL CAE.TO COB.L $BEAV 
ZODIAC AEROSPACE,ZODC.PA,EPA:ZC,LON:COB NASDAQ:BEAV LON:MGGT NYSE:TDG NYSE:COL EPA:SAF EPA:EAD ,COB.L $BEAV MGGT.L $TDG $COL SAF.PA EAD.PA 
GOODRICH,$GR,NYSE:GR,NYSE:COL NYSE:TXT EPA:SAF NYSE:PCP EPA:EAD ,$COL $TXT SAF.PA $PCP EAD.PA 
BOEING,$BA,NYSE:BA,NYSE:PCP EPA:EAD NYSE:UTX ,$PCP EAD.PA $UTX 
HEXCEL,$HXL,NYSE:HXL,NYSE:AIR LON:SNR TSE:CAE LON:COB NASDAQ:BEAV ,$AIR SNR.L CAE.TO COB.L $BEAV 
BOMBARDIER,BBDa.TO,TSE:BBD.A,EPA:ZC NYSE:TDG NYSE:COL NYSE:TXT EPA:SAF ,ZODC.PA $TDG $COL $TXT SAF.PA 
BOMBARDIER,BBDb.TO,TSE:BBD.B,EPA:ZC NYSE:TDG NYSE:COL NYSE:TXT EPA:SAF ,ZODC.PA $TDG $COL $TXT SAF.PA 
MOOG,MOGa.N,NYSE:MOG.A,NYSE:AIR LON:SNR NYSE:HXL TSE:CAE ,$AIR SNR.L $HXL CAE.TO 
ESTERLINE TECHNOLOGIES,ESL.N,NYSE:ESL,NYSE:AIR LON:SNR NYSE:HXL TSE:CAE LON:COB ,$AIR SNR.L $HXL CAE.TO COB.L 
