Title,Geography,Industry,Profession,Tickers
Equity Markets,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking",INDEXDJX:.DJI INDEXSP:.INX INDEXNASDAQ:.IXIC TSE:OSPTX INDEXFTSE:UKX INDEXFTSE:MCX INDEXFTSE:ASX INDEXSTOXX:SX5E INDEXDB:DAX INDEXEURO:PX1 INDEXEURO:AEX INDEXFTSE:ITLMS INDEXNIKKEI:NI225 INDEXHANGSENG:HSI INDEXHANGSENG:HSCEI SHE:399001 SHA:000001 TPE:TAIEX INDEXBOM:SENSEX INDEXASX:XJO  
US Indices,"Canada, United States","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking",INDEXDJX:.DJI INDEXSP:.INX INDEXNASDAQ:.IXIC TSE:OSPTX
European Indices,"Belgium, France, Germany, Italy, Netherlands, Portugal, United Kingdom","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking",INDEXFTSE:UKX INDEXFTSE:MCX INDEXFTSE:ASX INDEXSTOXX:SX5E INDEXDB:DAX INDEXEURO:PX1 INDEXEURO:AEX INDEXFTSE:ITLMS
Asian Indices,"Australia, Hong Kong, India, Japan, New Zealand, Taiwan","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking",INDEXNIKKEI:NI225 INDEXHANGSENG:HSI INDEXHANGSENG:HSCEI SHE:399001 SHA:000001 TPE:TAIEX INDEXBOM:SENSEX INDEXASX:XJO  
Currencies,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking",EURUSD USDJPY GBPUSD USDCAD USDHKD USDCNY AUDUSD
Global Top 25,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", NASDAQ:AAPL NYSE:XOM LON:CWP NASDAQ:MSFT NYSE:WMT NYSE:GE NYSE:CVX NYSE:BRK.B NASDAQ:GOOG NYSE:PFE NYSE:KO ASX:BHP NASDAQ:ORCL HKG:1288 NASDAQ:INTC LON:BP NYSE:VZ EBR:ABI LON:GSK NYSE:PEP HKG:3988 NYSE:ABT NASDAQ:AMZN NYSE:V EPA:SAN
Top 25 Industrials,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Industrials,"Asset Management, Debt, Equities, Investment Banking", NYSE:GE NYSE:UTX NYSE:MMM NYSE:UNP NYSE:BA NYSE:CAT NYSE:HON NYSE:ACN TSE:CNR HKG:0013 NYSE:DHR NYSE:EMR TPE:2317 NYSE:LMT EPA:EAD NYSE:FDX EPA:SU NASDAQ:ADP NYSE:ITW NYSE:TYC NYSE:NSC NYSE:PCP NYSE:GD NYSE:CSX EPA:DG
Top 25 United States,United States,"All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", NASDAQ:AAPL NYSE:XOM NASDAQ:MSFT NYSE:WMT NYSE:GE NYSE:CVX NYSE:BRK.B NASDAQ:GOOG NYSE:PFE NYSE:KO NASDAQ:ORCL NASDAQ:INTC NYSE:VZ NYSE:PEP NYSE:ABT NASDAQ:AMZN NYSE:V NASDAQ:QCOM NYSE:SLB NYSE:DIS NASDAQ:CMCSA NASDAQ:CSCO NYSE:HD NYSE:BAC NYSE:C
Industrials United States,United States,Industrials,"Asset Management, Debt, Equities, Investment Banking", NYSE:GE NYSE:UTX NYSE:MMM NYSE:UNP NYSE:BA NYSE:CAT NYSE:HON NYSE:ACN NYSE:DHR NYSE:EMR NYSE:LMT NYSE:FDX NASDAQ:ADP NYSE:ITW NYSE:TYC NYSE:NSC NYSE:PCP NYSE:GD NYSE:CSX NYSE:RTN NYSE:CMI NYSE:NOC NYSE:GR NYSE:WM NYSE:GWW NYSE:ETN NYSE:SHW NASDAQ:PCAR NY
Top 25 Canada,Canada,"All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", TSE:RY TSE:TD TSE:BNS TSE:SU TSE:CNR TSE:BMO TSE:IMO TSE:ABX TSE:ENB TSE:BCE TSE:TRP TSE:CNQ TSE:G TSE:CVE TSE:HSE TSE:TRI TSE:BAM.A TSE:T TSE:GWO TSE:MFC TSE:TCK.B TSE:PWF TSE:ECA TSE:AGU TSE:NXY
Industrials Canada,Canada,Industrials,"Asset Management, Debt, Equities, Investment Banking", TSE:CNR TSE:CP TSE:SNC TSE:OCX TSE:CAE TSE:BIN NASDAQ:WPRT TSE:MTL TSE:TIH TSE:TFI TSE:STN TSE:WJX TSE:RCH TSE:ATA TSE:ARE TSE:NAL TSE:BDT TSE:UNS TSE:AFN TSE:SWI
Top 25 France,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", EPA:SAN EPA:FP EPA:GSZ EPA:BNP EPA:BN EPA:EDF EPA:AI EPA:FTE EPA:RMS EPA:EAD EPA:SU EPA:RI EPA:CS EPA:CDI EPA:VIV EPA:MT EPA:DG EPA:EI EPA:UL EPA:PP EPA:SAF EPA:LG EPA:RNO EPA:TECF EPA:CA
Industrials France,France,Industrials,"Asset Management, Debt, Equities, Investment Banking", EPA:EAD EPA:SU EPA:DG EPA:SAF EPA:LG EPA:BVI EPA:ALO EPA:LR EPA:EN EPA:HO EPA:GTO EPA:EDEN EPA:ZC EPA:VK EPA:BOL EPA:RXL EPA:CFAO EPA:FGR EPA:VCT EPA:NEX EPA:CMFP
Top 25 United Kingdom,United States,"All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", LON:CWP LON:BP LON:GSK LON:BATS LON:ULVR LON:SAB LON:DGE LON:AZN LON:STAN LON:AAL LON:XTA LON:NG LON:IPR LON:GLEN LON:PRU LON:BARC LON:CNA LON:TLW LON:SHP LON:ANTO LON:PSON LON:WPP LON:ABF LON:FRES LON:BA
Industrials United Kingdom,United Kingdom,Industrials,"Asset Management, Debt, Equities, Investment Banking", LON:BA LON:EXPN LON:WOS LON:AGK LON:REX LON:BNZL LON:MGGT LON:MRO LON:IMI LON:COB LON:TPK LON:BBY LON:ROR LON:SXS LON:HLMA LON:SMDS LON:RTO LON:DLAR LON:MPI LON:CLLN LON:RSW LON:FLTR LON:HAS LON:ECM LON:BBA LON:BRSN LON:RGU LON:SNR LON:ATK LON:RPC LON:FE
Top 25 Consumer Services,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Consumer Services,"Asset Management, Debt, Equities, Investment Banking", NYSE:WMT NASDAQ:AMZN NYSE:DIS NASDAQ:CMCSA NYSE:HD NYSE:CVS NASDAQ:EBAY NASDAQ:NWSA NASDAQ:COST NYSE:TGT NASDAQ:SBUX ASX:WES NYSE:TWX ASX:WOW NASDAQ:PCLN NYSE:LVS NASDAQ:DTV NYSE:WAG NYSE:YUM NYSE:TWC NYSE:CCL NASDAQ:VIAB HKG:1928 TSE:TRI EPA:VIV
Top 25 Australia,"Australia, New Zealand","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", ASX:BHP ASX:RIO ASX:CBA ASX:WBC ASX:NAB ASX:WES ASX:WOW ASX:WPL ASX:WDC ASX:CSL ASX:NCM ASX:QBE ASX:FMG ASX:ORG ASX:AMP ASX:SUN ASX:CCL ASX:STO ASX:BXB ASX:WRT ASX:AMC ASX:ORI ASX:OSH ASX:TCL ASX:AGK
Consumer Services Australia,"Australia, New Zealand",Consumer Services,"Asset Management, Debt, Equities, Investment Banking", ASX:WES ASX:WOW ASX:CWN ASX:TTS ASX:EGP ASX:MTS ASX:TAH ASX:HVN ASX:FLT ASX:SVW ASX:SWM ASX:NVT ASX:CRZ ASX:ALL ASX:FXJ ASX:DJS ASX:AHD ASX:MYR ASX:IVC ASX:JBH ASX:TEN ASX:SGN ASX:APN ASX:TRS
Consumer Services United States,United States,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", NYSE:WMT NASDAQ:AMZN NYSE:DIS NASDAQ:CMCSA NYSE:HD NYSE:CVS NASDAQ:EBAY NASDAQ:NWSA NASDAQ:COST NYSE:TGT NASDAQ:SBUX NYSE:TWX NASDAQ:PCLN NYSE:LVS NASDAQ:DTV NYSE:WAG NYSE:YUM NYSE:TWC NYSE:CCL NASDAQ:VIAB NYSE:MCK NYSE:CBS NYSE:DG NYSE:SYY NASDAQ:WFM NA
Top 25 India,India,"All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", NSE:HDFC NSE:L&TFH NSE:WIPRO NSE:NMDC NSE:TATAMOTORS NSE:IOC NSE:SUNPHARMA NSE:CAIRN NSE:BHEL NSE:POWERGRID NSE:HINDZINC NSE:BAJAJ-AUTO NSE:ULTRACEMCO NSE:GAIL NSE:NESTLEIND NSE:AXISBANK NSE:TATASTEEL NSE:HCLTECH NSE:SAIL NSE:DLF NSE:ASIANPAINT NSE:STER 
