Title,Address,Geographic,Industry,Profession
TRIUMPH GROUP,$TGI,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BE AEROSPACE,$BEAV,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AAR,$AIR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CAE,CAE.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SAFRAN,SAF.PA,France,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SPIRIT AEROSYSTEMS ,$SPR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ZODIAC AEROSPACE,ZODC.PA,France,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GOODRICH,$GR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BOEING,$BA,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
HEXCEL,$HXL,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BOMBARDIER,BBDa.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BOMBARDIER,BBDb.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MOOG,$MOGa,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ESTERLINE TECHNOLOGIES,$ESL,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
UNITED TECHNOLOGIES,$UTX,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
PRECISION CASTPARTS,$PCP,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TELEDYNE TECHNOLOGIES,$TDY,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MTU AERO ENGINES ,MTXGn.DE,Germany,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ROCKWELL COLLINS,$COL,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MEGGITT,MGGT.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ROLLS ROYCE ,RR.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
COBHAM,COB.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
EADS,EAD.PA,France,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TRANSDIGM ,$TDG,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SENIOR,SNR.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TEXTRON,$TXT,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHINA EASTERN AIRLINES,0670.HK,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
DEUTSCHE LUFTHANSA,LHAG.DE,Germany,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
QANTAS AIRWAYS,QAN.AX,Australia,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
CHINA AIRLINES,2610.TW,Taiwan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
DELTA AIR LINES,$DAL,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
VIRGIN AUSTRALIA ,VAH.AX,Australia,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
CHINA SOUTHERN AIRLINES,1055.HK,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
SOUTHWEST AIRLINES,$LUV,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
SPICEJET,SPJT.BO,India,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
INTERNATIONAL CONSOLIDATED AIRLINES,ICAG.L,United Kingdom,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
CATHAY PACIFIC AIRWAYS,0293.HK,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
KINGFISHER AIRLINES,KING.NS,India,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
UNITED CONTINENTAL ,$UAL,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
